 name      lower_bound      value      upper_bound  type
 x_1           0.1           0.25          0.4      float
 x_1           0.75          1.0           1.25     float
 x_2           0.75          1.0           1.25     float
 x_3           0.1           0.5           1.0      float
 x_shared      0.01          0.05          0.09     float
 x_shared    30000.0       45000.0       60000.0    float
 x_shared      1.4           1.6           1.8      float
 x_shared      2.5           5.5           8.5      float
 x_shared      40.0          55.0          70.0     float
 x_shared     500.0         1000.0        1500.0    float
 y_14        24850.0    50606.9741711    77100.0    float
 y_14        -7700.0    7306.20262124    45000.0    float
 y_32         0.235       0.50279625      0.795     float
 y_31         2960.0    6354.32430691    10185.0    float
 y_24          0.44       4.15006276      11.13     float
 y_34          0.44       1.10754577       1.98     float
 y_23         3365.0    12194.2671934    26400.0    float
 y_21        24850.0    50606.9741711    77250.0    float
 y_12        24850.0      50606.9742     77250.0    float
 y_12          0.45          0.95          1.5      float
