 name         lower_bound   value            upper_bound  type
 taper_ratio  0.1           0.25             0.4          real
 wingbox_area 0.75          1.0              1.25         real
 cf           0.75          1.0              1.25         real
 throttle     0.1           0.5              1.0          real
 t_c          0.01          0.05             0.09         real
 altitude     30000.0       45000.0          60000.0      real
 mach         1.4           1.6              1.8          real
 ar           2.5           5.5              8.5          real
 sweep        40.0          55.0             70.0         real
 area         500.0         1000.0           1500.0       real
 t_w_4        24850.0       50606.9741711    77100.0      real
 f_w          -7700.0       7306.20262124    45000.0      real
 esf          0.235         0.50279625       0.795        real
 e_w          2960.0        6354.32430691    10185.0      real
 cl_cd        0.44          4.15006276       11.13        real
 sfc          0.44          1.10754577       1.98         real
 cd           3365.0        12194.2671934    26400.0      real
 cl           24850.0       50606.9741711    77250.0      real
 t_w_2        24850.0       50606.9741711    77100.0      real
 twist        0.45          0.95             1.5          real
